"PixelID","Recovery_time"
377,NA
378,NA
379,NA
380,NA
381,NA
382,NA
383,NA
384,4
385,4
386,NA
387,NA
388,NA
390,4
392,2
393,NA
394,NA
395,NA
396,NA
398,2
399,NA
400,2
402,4
404,4
405,4
406,NA
408,2
409,NA
410,NA
411,NA
412,2
415,2
416,2
417,2
418,2
419,4
420,NA
421,4
422,2
423,2
424,2
425,2
426,2
427,3
428,2
429,2
430,2
431,2
432,4
433,2
434,4
435,4
436,2
437,2
438,3
439,5
440,4
441,2
442,4
443,3
444,2
445,NA
446,NA
447,NA
448,2
449,4
451,3
452,NA
453,NA
455,NA
456,2
457,4
458,3
459,NA
461,2
462,2
463,2
464,2
465,2
466,2
467,2
468,NA
469,NA
470,5
471,NA
472,NA
473,NA
474,NA
475,NA
476,NA
477,NA
478,2
479,NA
480,NA
481,NA
482,NA
483,NA
484,NA
485,NA
486,2
487,2
488,NA
489,NA
490,NA
491,2
492,NA
493,NA
494,NA
495,NA
496,2
497,NA
498,NA
499,NA
500,2
501,NA
503,NA
504,2
505,NA
506,NA
507,4
508,NA
509,2
510,NA
511,NA
512,2
513,2
514,2
515,2
516,NA
517,2
518,2
519,2
520,3
521,3
522,2
523,NA
524,5
525,2
526,2
527,NA
528,2
529,2
530,3
531,3
532,2
533,2
534,2
535,5
536,NA
537,2
540,4
541,2
542,2
543,2
544,2
545,5
546,2
547,2
548,2
551,5
552,5
553,2
554,2
555,2
557,2
558,2
560,5
561,NA
562,2
563,5
564,3
565,NA
566,2
567,NA
569,4
570,5
571,NA
572,5
573,NA
574,4
576,NA
577,5
578,2
579,NA
580,NA
581,2
582,NA
583,2
584,4
585,2
586,NA
587,NA
588,NA
589,4
590,NA
591,NA
592,NA
593,NA
594,NA
596,3
597,3
598,NA
599,4
600,4
601,NA
602,NA
603,NA
604,NA
605,2
606,5
607,2
608,NA
609,NA
610,NA
611,2
612,NA
613,2
614,NA
615,3
616,NA
617,5
618,2
620,4
621,NA
622,NA
623,4
624,NA
625,NA
626,5
627,4
628,4
629,4
630,4
631,4
632,4
633,NA
634,NA
635,NA
636,2
637,NA
